ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
6.825467901,187.0517097,46140.12685,6.137757462,352.7021822,373.4272355,12.60638165,58.75220132,3.027449578,0
7.861177701,204.2742411,25145.02412,7.923315375,338.2138034,469.4869612,15.99341035,86.16729829,4.157656628,0
4.96577356,220.8486386,21802.7449,6.250578031,311.598136,386.4133315,18.03523754,53.90817735,3.421766849,0
6.207432968,192.9370271,13442.60347,5.81902294,325.9065618,533.7958508,14.68753934,60.48503329,3.549298841,0
9.769251006,264.2656543,8471.677381,8.349709767,359.2685426,353.1964755,15.04708691,52.64545853,4.636556195,0
9.63066548,152.8624335,23641.70257,6.92570608,333.1483177,417.1670729,16.67018392,89.99757422,4.920091158,0
7.633570088,199.6529996,16312.15497,9.900546897,358.5662821,420.5341718,10.53939227,100.242706,2.927066767,0
5.77119905,155.0508931,24909.44401,6.53126127,297.0093194,313.7019343,11.704789,85.68830345,4.688959065,0
6.579969329,197.2269809,17657.08418,4.506293474,290.2898943,254.3932756,9.847655276,73.74971647,4.575931872,0
4.801154368,180.7728708,13556.7344,8.977286381,322.062447,587.3950117,12.40136807,62.02818652,4.418638132,0
6.906992172,216.7852908,19991.23915,7.302351651,340.1060278,356.4591369,9.614106025,61.12264363,2.124759352,0
7.726134808,233.9478637,21667.86874,6.313181872,340.2731714,472.2589937,14.39986002,36.57803789,3.720636904,0
8.927078148,241.875105,22821.25438,8.549738274,367.9755579,380.1972,10.85928728,75.85706782,4.601860959,0
6.20801554,153.2211063,17358.79637,8.214938853,328.282029,481.1956735,14.27409228,62.71819917,4.334615732,0
6.128425635,141.4924095,9615.83271,7.62791913,277.9517037,415.0087369,16.43584291,50.69392671,4.633823862,0
7.308048848,274.7049505,14600.53952,8.105802882,384.5648525,415.6072778,16.7616247,68.93722695,3.696119712,0
8.640886409,201.5687241,26473.71324,6.967094562,352.3065857,309.9832868,17.66508338,68.66492348,5.263101572,0
8.153210075,127.1448918,10280.9295,5.828357794,267.6368856,487.9083272,11.94347658,90.61935439,2.905788134,0
8.29372011,206.1604149,35216.38597,6.440999766,347.0622407,399.4836212,16.06566794,79.95451096,3.954715283,0
7.830976343,190.7990441,7695.063935,4.845205476,292.5158245,507.4454883,15.52665845,85.0095059,4.588784657,0
4.430281212,139.6857588,28862.25717,8.961372377,298.3794584,434.7812671,17.29929446,63.04250092,4.384565156,0
7.240739639,201.1868045,23783.09956,7.75128544,340.9836834,579.2203941,13.4863791,62.6502355,3.556297467,0
6.867301322,174.1849764,24112.15347,5.529942236,297.6555749,484.1229389,11.482687,65.30441362,3.82359504,0
6.129637015,200.2781822,30989.94841,8.830102319,348.8681541,341.3885767,9.300117278,79.55361207,4.615886181,0
7.917049443,278.056321,27192.28056,9.220128211,424.7879959,358.7817362,15.05431287,56.83960203,3.659484625,0
6.511618075,181.8734217,29136.81462,7.685775096,345.7516385,475.3413507,12.32123216,52.43761714,4.850433708,0
5.323815584,232.36858,37625.75268,8.879822934,380.576472,580.8977004,12.29380305,55.31001941,2.880721846,0
6.769572869,168.9370725,11067.18115,7.121263609,305.7949503,289.5424601,18.54590296,62.00157128,5.22054027,0
5.87797404,141.6152867,13652.2932,5.701659125,279.7824004,538.4954044,12.03404227,67.90725801,4.032259504,0
6.340027628,225.0281485,45222.50667,5.809031562,363.0057551,435.5004571,11.38593727,80.67031136,3.686001324,0
5.653506135,146.5902323,16462.46009,6.501596205,299.6446114,272.4405583,13.79526446,87.82258511,5.198985504,0
6.626012184,112.2994855,25839.8941,7.658746878,312.2470431,327.2480786,19.40914656,85.78510284,4.194313129,0
7.793833573,176.8664829,18344.68036,7.567676884,338.2295973,371.216973,9.039042454,76.28807631,4.172935335,0
7.362736502,185.692181,16268.44861,5.317019275,316.9186485,419.2584481,16.02424609,64.67891377,4.408513182,0
9.320305445,129.8238585,16002.13832,4.405034532,271.6705616,499.8441671,13.0768589,82.8375829,4.205809732,0
3.719791644,248.8592673,23590.93213,7.683742221,351.5554822,427.4959312,20.39378167,38.6049369,2.718397734,0
9.868877881,214.1662353,15326.85591,3.35159782,297.0841735,424.2928308,19.18844138,70.0705141,3.355489791,0
4.126528715,125.4748835,11215.9459,5.366011336,261.4447977,445.2414569,18.57592068,86.43365536,4.460200984,0
5.970035657,230.4493293,16324.1152,5.293918607,315.1861206,327.786642,13.32598708,39.55424883,5.428674072,0
8.369154354,183.5003784,12975.90033,6.600853064,315.9011216,493.4654399,12.98710649,87.02941032,3.629749331,0
9.445129838,145.8054024,13168.52916,9.444471086,310.5833739,592.659021,8.606396747,77.57745951,3.875165247,1
9.024845037,128.0966912,19859.67648,8.016422649,300.150377,451.143481,14.77086294,73.77802565,3.985250506,1
6.80011909,242.0080815,39143.40333,9.501694588,187.1707144,376.4565931,11.43246635,73.77727503,3.8549399,1
7.174135163,203.4089346,20401.10246,7.681806287,287.0856791,315.5499,14.53351004,74.40561603,3.939895657,1
7.657991237,236.9608892,14245.78912,6.289064859,373.1653628,416.6241889,10.46423858,85.85276861,2.437296288,1
8.322986672,207.2524622,28049.64628,8.827061283,297.8130845,358.7258688,18.70927337,60.91142039,4.052135728,1
9.802720782,98.77164353,27357.45674,9.218150393,323.1990765,512.4287308,14.16893351,59.45443977,2.764633881,1
6.101955231,215.2680896,15976.92623,8.857160044,308.4826954,417.8435527,13.1472795,62.50564153,3.53559633,1
4.997770601,280.0824107,26849.19474,6.130756542,374.2329606,297.61154,15.57157096,70.56027461,3.404632906,1
4.815766791,217.6870932,16392.13507,7.461170474,278.7422964,481.4808283,15.5172963,77.6933736,4.375223811,1
6.548020558,278.5851052,25508.38695,6.749377795,366.871502,497.3217528,16.56316651,79.3236784,3.611860372,1
6.618010906,233.6616359,19598.86074,4.701049346,432.556385,401.6697906,11.76614643,73.19192051,4.437695749,1
7.788054733,212.6914573,29879.06015,6.998961533,360.668259,359.5690815,14.82874304,83.85633634,3.368757217,1
5.191834327,211.0941848,14866.10386,7.238691301,323.1092851,388.7165795,17.78000011,83.50540623,3.859800939,1
6.869638941,251.2934475,21728.8213,8.803174745,279.7768565,539.4668769,12.99414,56.40970792,4.726702454,1
9.058628424,155.3575571,15737.46894,7.251978855,343.233977,463.389256,17.85447002,83.17518934,3.65213447,1
7.291888325,127.5442971,27784.04848,9.754475933,247.3354119,439.6493286,17.28504169,59.55632952,5.328712788,1
7.275908774,175.2203765,22644.76635,7.886854527,293.3098537,373.3456926,17.41168255,56.79928677,5.062297798,1
6.512737124,229.263861,22475.04687,12.58002649,192.0335917,479.5012786,9.983462392,66.66857615,4.612963629,1
7.207886781,175.8702941,35804.29261,8.066059052,320.1021726,468.5628288,16.16409127,71.14666068,3.762741072,1
5.324941856,280.0896549,35344.65805,13.04380611,180.2067464,392.4214958,10.50481955,55.08466785,4.427137926,1
7.082300649,169.4689273,29846.71906,5.443386888,350.401849,353.0303803,18.95953438,30.38909611,3.485577388,1
10.7618978,81.71089527,25999.95367,8.477393872,318.4272408,392.7040818,12.71635014,52.24697244,4.661798516,1
6.286806948,258.3000516,13777.37619,7.483257698,328.6806496,563.4347751,16.46083688,73.51665351,4.104863275,1
9.794558699,129.8709584,20682.73174,9.390842593,291.9800835,427.1239484,11.85322809,78.71146943,2.945418738,1
8.210443565,167.1021915,13933.08536,10.42284178,243.4859418,391.0688736,13.74705768,61.05821029,4.97605516,1
10.35611883,136.3237517,48621.56395,9.158703903,327.922751,365.7202915,17.97556384,77.35985434,4.201849441,1
7.958984292,171.4836247,23625.81389,9.537735147,259.9799662,327.623881,16.11711046,107.7540426,4.698007916,1
6.552847474,198.8069397,34006.42073,8.691206175,274.9043512,477.1639068,14.36963009,78.17306259,4.687986155,1
7.628552723,156.7936942,26244.03691,8.337610434,255.0431936,495.9669861,13.63397438,65.60484125,4.182057148,1
4.79084054,268.7208812,17862.369,4.554573627,377.2411613,608.8468563,10.80631311,83.70223599,3.258858945,1
7.710959939,181.9381256,6552.626314,5.389248621,390.596392,516.2840829,17.01078491,58.24173419,4.28894682,1
8.291299006,211.2170343,20008.13496,8.767875035,275.7673211,475.9091299,12.6146689,66.61298363,3.424701921,1
9.032660579,121.4414415,15618.17025,6.157490739,372.9274557,390.6572261,15.03031511,63.125617,4.927218272,1
7.12942473,178.3723523,25840.57889,7.487823264,312.9827267,323.2989152,16.40615622,69.15760946,3.418610803,1
6.79546901,187.7830201,15300.83867,7.486598424,316.9569345,498.665928,19.60042881,55.40111272,5.163088154,1
10.04102797,113.8311122,16266.43445,7.939074358,363.8668902,557.4860613,13.19534068,75.23322131,3.807562606,1
7.296037734,235.7351929,36043.70664,5.19621276,377.1906657,385.6143207,17.05271326,89.62355084,4.168526118,1
5.862641233,185.0652199,44069.27216,4.382721317,412.6901114,331.5701387,15.30607892,59.60581211,5.50742094,1
7.292141805,174.480427,33991.65157,9.511792392,259.1649652,435.1080173,16.29361407,81.69010445,4.466912564,1
