No,X1_transaction_date,X2_house_age,X3_distance_to_the_nearest_MRT_station,X4_number_of_convenience_stores,X5_latitude,X6_longitude,Y_house_price_of_unit_area
1,2012.916667,32,84.87882,10,24.98298,121.54024,37.9
2,2012.916667,19.5,306.5947,9,24.98034,121.53951,42.2
3,2013.583333,13.3,561.9845,5,24.98746,121.54391,47.3
4,2013.5,13.3,561.9845,5,24.98746,121.54391,54.8
5,2012.833333,5,390.5684,5,24.97937,121.54245,43.1
6,2012.666667,7.1,2175.03,3,24.96305,121.51254,32.1
7,2012.666667,34.5,623.4731,7,24.97933,121.53642,40.3
8,2013.416667,20.3,287.6025,6,24.98042,121.54228,46.7
9,2013.5,31.7,5512.038,1,24.95095,121.48458,18.8
10,2013.416667,17.9,1783.18,3,24.96731,121.51486,22.1
11,2013.083333,34.8,405.2134,1,24.97349,121.53372,41.4
12,2013.333333,6.3,90.45606,9,24.97433,121.5431,58.1
13,2012.916667,13,492.2313,5,24.96515,121.53737,39.3
14,2012.666667,20.4,2469.645,4,24.96108,121.51046,23.8
15,2013.5,13.2,1164.838,4,24.99156,121.53406,34.3
16,2013.583333,35.7,579.2083,2,24.9824,121.54619,50.5
17,2013.25,1,292.9978,6,24.97744,121.54458,70.1
18,2012.75,17.7,350.8515,1,24.97544,121.53119,37.4
19,2013.416667,16.9,368.1363,8,24.9675,121.54451,42.3
20,2012.666667,1.5,23.38284,7,24.96772,121.54102,47.7
21,2013.416667,4.5,2275.877,3,24.96314,121.51151,29.3
22,2013.416667,10.5,279.1726,7,24.97528,121.54541,51.6
23,2012.916667,14.7,1360.139,1,24.95204,121.54842,24.6
24,2013.083333,10.1,279.1726,7,24.97528,121.54541,47.9
25,2013,39.6,480.6977,4,24.97353,121.53885,38.8
26,2013.083333,29.3,1487.868,2,24.97542,121.51726,27
27,2012.666667,3.1,383.8624,5,24.98085,121.54391,56.2
28,2013.25,10.4,276.449,5,24.95593,121.53913,33.6
29,2013.5,19.2,557.478,4,24.97419,121.53797,47
30,2013.083333,7.1,451.2438,5,24.97563,121.54694,57.1
31,2013.5,25.9,4519.69,1,24.94826,121.49587,22.1
32,2012.75,29.6,769.4034,7,24.98281,121.53408,25
33,2012.75,37.9,488.5727,1,24.97349,121.53451,34.2
34,2013.25,16.5,323.655,6,24.97841,121.54281,49.3
35,2012.75,15.4,205.367,7,24.98419,121.54243,55.1
36,2013.5,13.9,4079.418,1,25.01459,121.51816,27.3
37,2012.916667,14.7,1935.009,2,24.96386,121.51458,22.9
38,2013.166667,12,1360.139,1,24.95204,121.54842,25.3
39,2012.666667,3.1,577.9615,6,24.97201,121.54722,47.7
40,2013.166667,16.2,289.3248,5,24.98203,121.54348,46.2
41,2013,13.6,4082.015,1,24.94155,121.50381,15.9
42,2013.5,16.8,4066.587,1,24.94297,121.50342,18.2
43,2013.416667,36.1,519.4617,5,24.96305,121.53758,34.7
44,2012.75,34.4,512.7871,6,24.98748,121.54301,34.1
45,2013.583333,2.7,533.4762,4,24.97445,121.54765,53.9
46,2013.083333,36.6,488.8193,8,24.97015,121.54494,38.3
47,2013.416667,21.7,463.9623,9,24.9703,121.54458,42
48,2013.583333,35.9,640.7391,3,24.97563,121.53715,61.5
49,2013.416667,24.2,4605.749,1,24.94684,121.49578,13.4
50,2012.666667,29.4,4510.359,1,24.94925,121.49542,13.2
